work_order,description,status,type,asset_num,asset_location,job_plan_num,curr_stat_changeby,curr_stat_changedate,wo_pm_num,target_date,actual_finish,wo_siteid,wo_owner,group,grace_date,wo_status_wonum,wo_status_prev_status,wo_status_prev_changedate,wo_status_prev_changeby,report_date,report_month
1060560,EID 15408 1 YR PM SS,CLOSE,PM,15408,RM2131A,JP0525,MAXADMIN,2024-09-28 03:17:30.343,15408-SS,2024-08-01,2024-07-17 13:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060560,COMP,2024-08-05 11:25:44.477,JONESGU1,2024-05-03 02:03:57.037,2024-08
1060568,EID 15409 1 YR PM SS,CLOSE,PM,15409,RM2131A,JP0525,MAXADMIN,2024-09-28 03:17:34.317,15409-SS,2024-08-01,2024-07-17 13:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060568,COMP,2024-08-05 12:43:50.380,JONESGU1,2024-05-03 02:04:10.057,2024-08
1060576,EID 15410 1 YR PM SS,CLOSE,PM,15410,RM2131A,JP0525,MAXADMIN,2024-09-28 03:17:38.233,15410-SS,2024-08-01,2024-07-17 14:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060576,COMP,2024-08-05 12:53:27.387,JONESGU1,2024-05-03 02:04:21.227,2024-08
1060584,Annual Ultrasonic Parts Washer PM,CLOSE,PM,17205,RM0327,JP2228,MAXADMIN,2024-09-28 03:17:44.463,19936,2024-08-01,2024-07-17 10:00:00.000,FWN,RAMOSAM3,FWNCSM,2024-08-31 00:00:00,1060584,COMP,2024-07-22 08:33:11.130,RAMOSAM3,2024-05-03 02:04:31.183,2024-08
1060586,NVP 310P,CLOSE,PM,,FWNMFG,JP2229,MAXADMIN,2024-12-31 03:16:24.730,19956,2024-08-01,2024-07-23 06:15:00.000,FWN,SANDEJO5,FWNMET,2024-08-31 00:00:00,1060586,COMP,2024-07-23 06:25:31.093,US045137,2024-05-03 02:04:33.890,2024-08
1060586,NVP 310P,CLOSE,PM,,FWNMFG,JP2229,MAXADMIN,2024-12-31 03:16:24.730,19956,2024-08-01,2024-07-23 06:15:00.000,FWN,SANDEJO5,FWNMET,2024-08-31 00:00:00,1060586,COMP,2024-08-31 07:55:39.253,US045137,2024-05-03 02:04:33.890,2024-08
1060586,NVP 310P,CLOSE,PM,,FWNMFG,JP2229,MAXADMIN,2024-12-31 03:16:24.730,19956,2024-08-01,2024-07-23 06:15:00.000,FWN,SANDEJO5,FWNMET,2024-08-31 00:00:00,1060586,COMP,2024-11-05 09:41:07.687,US045137,2024-05-03 02:04:33.890,2024-08
1060588,HX L20 PW,CLOSE,PM,17274,RM0272B,JP0478,MAXADMIN,2024-09-13 03:15:29.810,20013,2024-08-01,2024-07-17 08:00:00.000,FWN,HALLABI1,FWNWSM,2024-08-31 00:00:00,1060588,COMP,2024-07-26 14:44:03.250,HALLABI1,2024-05-03 02:04:36.640,2024-08
1060594,Metrology Winch Inspection,CLOSE,PM,18050,,JP2252,MAXADMIN,2025-02-22 03:15:47.037,20257,2024-08-01,2024-08-23 06:30:00.000,FWN,SANDEJO5,FWNMET,2024-08-31 00:00:00,1060594,COMP,2024-08-23 06:32:02.477,US045137,2024-05-03 02:04:44.813,2024-08
1060594,Metrology Winch Inspection,CLOSE,PM,18050,,JP2252,MAXADMIN,2025-02-22 03:15:47.037,20257,2024-08-01,2024-08-23 06:30:00.000,FWN,SANDEJO5,FWNMET,2024-08-31 00:00:00,1060594,COMP,2024-08-31 07:55:01.393,US045137,2024-05-03 02:04:44.813,2024-08
1060598,Inspec for Pressurized Reactor/Mix Tanks w/Lining,CLOSE,PM,17411,COMPOUND 9E,JP1338,MAXADMIN,2024-11-23 03:15:15.030,21002,2024-08-01,2024-08-20 11:30:00.000,FWN,PECOTJA1,FWNWSM,2024-08-31 00:00:00,1060598,COMP,2024-08-20 14:10:49.437,US048976,2024-05-03 02:04:49.533,2024-08
1060603,PFA Liner,CLOSE,PM,17411,COMPOUND 9E,JP1459,MAXADMIN,2024-09-13 03:15:32.343,21006,2024-08-01,2024-07-26 14:15:00.000,FWN,THOMPBI1,FWNWSM,2024-08-31 00:00:00,1060603,COMP,2024-07-28 05:42:39.300,US048976,2024-05-03 02:04:56.210,2024-08
1060607,"Filter, HEPA, HFIT, Line 22 Vestibule",CLOSE,PM,17379,,JP0769,MAXADMIN,2024-10-04 03:15:13.953,21022,2024-08-01,2024-07-18 10:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060607,COMP,2024-08-16 07:26:02.607,JONESGU1,2024-05-03 02:05:03.610,2024-08
1060615,"Filter, HEPA, HFIT, Line 22 Personnel Air Lock (Outer)",CLOSE,PM,17380,RM 1204,JP2002,MAXADMIN,2024-10-04 03:15:21.007,21023,2024-08-01,2024-07-18 10:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060615,COMP,2024-08-16 07:22:54.280,JONESGU1,2024-05-03 02:05:13.230,2024-08
1060621,"Filter, HEPA, HFIT, Line 22 Personnel Air Lock (Outer)",CLOSE,PM,17380,RM 1204,JP0769,MAXADMIN,2024-10-04 03:15:24.813,21024,2024-08-01,2024-07-18 10:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060621,COMP,2024-08-16 07:20:20.200,JONESGU1,2024-05-03 02:05:21.337,2024-08
1060629,"Filter, HEPA, HFIT, Line 22 Personnel Air Lock (Inner)",CLOSE,PM,17381,RM 1205,JP2002,MAXADMIN,2024-10-04 03:15:29.890,21025,2024-08-01,2024-07-18 14:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060629,COMP,2024-08-16 09:41:29.367,JONESGU1,2024-05-03 02:05:34.880,2024-08
1060635,"Filter, HEPA, HFIT, Line 22 Personnel Air Lock (Inner)",CLOSE,PM,17381,RM 1205,JP0769,MAXADMIN,2024-10-04 03:15:33.420,21026,2024-08-01,2024-07-18 14:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060635,COMP,2024-08-16 09:39:58.757,JONESGU1,2024-05-03 02:05:43.503,2024-08
1060643,"Filter, HEPA, HFIT, Line 22 Corridor",CLOSE,PM,17382,RM 1206,JP2002,MAXADMIN,2024-10-04 03:15:37.970,21027,2024-08-01,2024-07-18 11:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060643,COMP,2024-08-16 07:31:20.100,JONESGU1,2024-05-03 02:05:55.440,2024-08
1060649,"Filter, HEPA, HFIT, Line 22 Corridor",CLOSE,PM,17382,RM 1206,JP0769,MAXADMIN,2024-10-04 03:15:41.897,21028,2024-08-01,2024-07-18 11:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060649,COMP,2024-08-16 07:28:54.277,JONESGU1,2024-05-03 02:06:04.433,2024-08
1060657,"Filter, HEPA, HFIT, Line 22 Capper, Stopper Wash Room",CLOSE,PM,17383,RM 1207,JP2002,MAXADMIN,2024-09-28 03:17:46.657,21029,2024-08-01,2024-07-18 10:15:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060657,COMP,2024-08-08 06:30:01.417,JONESGU1,2024-05-03 02:06:14.970,2024-08
1060663,"Filter, HEPA, HFIT, Line 22 Capper, Stopper Wash Room",CLOSE,PM,17383,RM 1207,JP0769,MAXADMIN,2024-09-28 03:17:51.130,21031,2024-08-01,2024-07-18 10:15:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060663,COMP,2024-07-18 11:36:40.090,JONESGU1,2024-05-03 02:06:22.853,2024-08
1060671,"Filter, HEPA, HFIT, Line 22 Material, Personnel Exit Air Lock (Inner)",CLOSE,PM,17384,RM 1208,JP2002,MAXADMIN,2024-10-04 03:15:47.623,21032,2024-08-01,2024-07-18 13:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060671,COMP,2024-08-16 09:33:31.350,JONESGU1,2024-05-03 02:06:33.400,2024-08
1060677,"Filter, HEPA, HFIT, Line 22 Material, Personnel Exit Air Lock (Inner)",CLOSE,PM,17384,RM 1208,JP0769,MAXADMIN,2024-10-04 03:15:51.767,21033,2024-08-01,2024-07-18 14:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060677,COMP,2024-08-16 09:32:08.903,JONESGU1,2024-05-03 02:06:43.880,2024-08
1060685,"Filter, HEPA, HFIT, Line 22 Material, Personnel Exit Air Lock (Outer)",CLOSE,PM,17385,RM 1209,JP2002,MAXADMIN,2024-10-04 03:15:57.743,21034,2024-08-01,2024-07-18 13:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060685,COMP,2024-08-16 09:38:10.547,JONESGU1,2024-05-03 02:06:56.257,2024-08
1060691,"Filter, HEPA, HFIT, Line 22 Material, Personnel Exit Air Lock (Outer)",CLOSE,PM,17385,RM 1209,JP0769,MAXADMIN,2024-10-04 03:16:01.673,21035,2024-08-01,2024-07-18 14:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060691,COMP,2024-08-16 09:35:36.710,JONESGU1,2024-05-03 02:07:07.270,2024-08
1060699,"Filter, HEPA, HFIT, Line 22 De-Bag",CLOSE,PM,17386,RM 1211,JP2002,MAXADMIN,2024-10-04 03:16:06.753,21036,2024-08-01,2024-07-18 12:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060699,COMP,2024-08-16 07:35:18.627,JONESGU1,2024-05-03 02:07:19.180,2024-08
1060705,"Filter, HEPA, HFIT, Line 22 De-Bag",CLOSE,PM,17386,RM 1211,JP0769,MAXADMIN,2024-10-04 03:16:11.093,21037,2024-08-01,2024-07-18 12:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060705,COMP,2024-08-16 07:34:02.753,JONESGU1,2024-05-03 02:07:30.767,2024-08
1060713,"Filter, HEPA, HFIT, Line 22 Fill Room",CLOSE,PM,17387,RM1213,JP0769,MAXADMIN,2024-10-04 03:16:15.487,21038,2024-08-01,2024-07-18 13:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060713,COMP,2024-08-16 09:22:39.560,JONESGU1,2024-05-03 02:07:45.513,2024-08
1060713,"Filter, HEPA, HFIT, Line 22 Fill Room",CLOSE,PM,17387,RM1213,JP0769,MAXADMIN,2024-10-04 03:16:15.487,21038,2024-08-01,2024-07-18 13:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060713,COMP,2024-08-16 11:34:43.567,JONESGU1,2024-05-03 02:07:45.513,2024-08
1060721,"Filter, HEPA, HFIT, Line 22 Exit Air Lock (Inner)",CLOSE,PM,17389,RM 1214,JP2002,MAXADMIN,2024-10-04 03:16:19.927,21039,2024-08-01,2024-07-18 13:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060721,COMP,2024-08-16 09:29:45.030,JONESGU1,2024-05-03 02:07:57.463,2024-08
1060727,"Filter, HEPA, HFIT, Line 22 Exit Air Lock (Inner)",CLOSE,PM,17389,RM 1214,JP0769,MAXADMIN,2024-10-04 03:16:24.100,21040,2024-08-01,2024-07-18 13:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060727,COMP,2024-08-16 09:27:09.040,JONESGU1,2024-05-03 02:08:07.487,2024-08
1060735,"Filter, HEPA, HFIT, Line 22 Exit Air Lock (Outer)",CLOSE,PM,17390,RM 1215,JP2002,MAXADMIN,2024-10-04 03:16:28.887,21041,2024-08-01,2024-07-18 12:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060735,COMP,2024-08-16 09:25:01.940,JONESGU1,2024-05-03 02:08:18.617,2024-08
1060741,"Filter, HEPA, HFIT, Line 22 Exit Air Lock (Outer)",CLOSE,PM,17390,RM 1215,JP0769,MAXADMIN,2024-10-04 03:16:32.950,21042,2024-08-01,2024-07-18 12:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060741,COMP,2024-08-16 09:44:08.457,JONESGU1,2024-05-03 02:08:29.717,2024-08
1060749,Wilcomat Yearly PM,CLOSE,PM,17374,AR0853,JP2327,MAXADMIN,2024-09-13 03:15:35.143,21561,2024-08-01,2024-07-23 10:00:00.000,FWN,SMITHSTK,FWNPS,2024-08-31 00:00:00,1060749,COMP,2024-07-25 10:09:31.510,SMITHSTK,2024-05-03 02:08:40.880,2024-08
1060751,Kit Liberty Line Cartoner,CLOSE,PM,17430,RM0711,JP0388,MAXADMIN,2024-09-13 03:15:37.520,21738,2024-08-01,2024-07-26 10:15:00.000,FWN,EAGANPH1,FWNLC1,2024-08-31 00:00:00,1060751,COMP,2024-07-26 10:21:16.473,EAGANPH1,2024-05-03 02:08:43.647,2024-08
1060755,1YR PM SS,CLOSE,PM,17428,RM0716,JP0524,MAXADMIN,2024-09-28 03:17:57.810,2301-17428-01,2024-08-01,2024-07-16 09:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060755,COMP,2024-08-05 07:16:24.350,JONESGU1,2024-05-03 02:08:49.060,2024-08
1060765,EID#17296 - 1YR LN22 Bag Filler PM,CLOSE,PM,17296,RM1213,JP2167,MAXADMIN,2024-10-11 03:15:10.737,23133,2024-08-01,2024-07-15 13:00:00.000,FWN,SANDOVI2,FWNPS,2024-08-31 00:00:00,1060765,COMP,2024-08-23 14:52:46.207,SANDOVI2,2024-05-03 02:09:05.613,2024-08
1060765,EID#17296 - 1YR LN22 Bag Filler PM,CLOSE,PM,17296,RM1213,JP2167,MAXADMIN,2024-10-11 03:15:10.737,23133,2024-08-01,2024-07-15 13:00:00.000,FWN,SANDOVI2,FWNPS,2024-08-31 00:00:00,1060765,CORRTD,2024-08-23 14:54:21.077,SANDOVI2,2024-05-03 02:09:05.613,2024-08
1060765,EID#17296 - 1YR LN22 Bag Filler PM,CLOSE,PM,17296,RM1213,JP2167,MAXADMIN,2024-10-11 03:15:10.737,23133,2024-08-01,2024-07-15 13:00:00.000,FWN,SANDOVI2,FWNPS,2024-08-31 00:00:00,1060765,COMP,2024-08-23 15:44:44.727,SANDOVI2,2024-05-03 02:09:05.613,2024-08
1060771,Tray Shuttle 1YR PM,CLOSE,PM,17367,RM1017,2402-03,MAXADMIN,2024-09-15 03:15:05.403,2402-12,2024-08-01,2024-07-30 14:15:00.000,FWN,SANTIDAC,FWNPS,2024-08-31 00:00:00,1060771,COMP,2024-07-30 14:26:11.660,SANTIDAC,2024-05-03 02:09:14.193,2024-08
1060774,1 YR PM Replace Black and White Inspection Belts LN17,CLOSE,PM,17275,RM0856A,2402-06,MAXADMIN,2024-09-14 03:15:17.030,2402-17,2024-08-01,2024-07-26 10:00:00.000,FWN,OLMOSJU1,FWNPS,2024-08-31 00:00:00,1060774,COMP,2024-07-29 14:19:59.710,OLMOSJU1,2024-05-03 02:09:18.167,2024-08
1060777,1 YR PM Replace Black and White Inspection Belts LN22,CLOSE,PM,17410,RM1017,2402-07,MAXADMIN,2024-09-13 03:15:40.243,2402-18,2024-08-01,2024-07-25 10:00:00.000,FWN,SANTIDAC,FWNPS,2024-08-31 00:00:00,1060777,COMP,2024-07-25 13:04:58.110,SANTIDAC,2024-05-03 02:09:21.967,2024-08
1060780,EID 03510 1 YR SKALAR (Segmented Flow Analyzer) Technical Audit Trail Review,CLOSE,PM,3510,QARM1405,JP1691,MAXADMIN,2024-09-24 03:15:14.513,E03510-1Y,2024-08-01,2024-07-25 10:00:00.000,FWN,WILLIJAG,FWNQCAST,2024-08-31 00:00:00,1060780,COMP,2024-08-05 09:55:49.700,WILLIJAG,2024-05-03 02:09:26.017,2024-08
1060782,EID 10023 1 YR PM,CLOSE,PM,10023,AR0853,JP0701,MAXADMIN,2024-09-13 03:15:42.307,E100231Y,2024-08-01,2024-07-27 07:00:00.000,FWN,SANTIDAC,FWNPS,2024-08-31 00:00:00,1060782,COMP,2024-07-27 07:08:34.283,SANTIDAC,2024-05-03 02:09:28.947,2024-08
1060788,EID 10027 1 YR PM SS,CLOSE,PM,10027,RM0601,JP1240,MAXADMIN,2024-10-07 03:16:53.223,E10027-SS,2024-08-01,2024-07-10 16:33:50.443,FWN,WARRERI1,FWNCSS,2024-08-31 00:00:00,1060788,COMP,2024-07-10 16:33:50.443,WARRERI1,2024-05-03 02:09:36.017,2024-08
1060788,EID 10027 1 YR PM SS,CLOSE,PM,10027,RM0601,JP1240,MAXADMIN,2024-10-07 03:16:53.223,E10027-SS,2024-08-01,2024-07-10 16:33:50.443,FWN,WARRERI1,FWNCSS,2024-08-31 00:00:00,1060788,CORRTD,2024-07-23 15:15:22.120,WARRERI1,2024-05-03 02:09:36.017,2024-08
1060788,EID 10027 1 YR PM SS,CLOSE,PM,10027,RM0601,JP1240,MAXADMIN,2024-10-07 03:16:53.223,E10027-SS,2024-08-01,2024-07-10 16:33:50.443,FWN,WARRERI1,FWNCSS,2024-08-31 00:00:00,1060788,COMP,2024-08-03 14:03:44.470,PECOTJA1,2024-05-03 02:09:36.017,2024-08
1060790,EID 6054 1YR SS PM,CLOSE,PM,10027,RM0601,JP1116,MAXADMIN,2024-09-14 03:15:18.533,E100271Y,2024-08-01,2024-07-17 09:00:00.000,FWN,PECOTJA1,FWNWSM,2024-08-31 00:00:00,1060790,COMP,2024-07-29 09:29:06.860,US048976,2024-05-03 03:59:00.000,2024-08
1060790,EID 6054 1YR SS PM,CLOSE,PM,10027,RM0601,JP1116,MAXADMIN,2024-09-14 03:15:18.533,E100271Y,2024-08-01,2024-07-17 09:00:00.000,FWN,PECOTJA1,FWNWSM,2024-08-31 00:00:00,1060790,COMP,2024-07-29 09:39:17.470,US048976,2024-05-03 03:59:00.000,2024-08
1060796,EID 10028 1 YR PM SS,CLOSE,PM,10028,RM0601,JP1240,MAXADMIN,2024-10-07 03:16:54.177,E10028-SS,2024-08-01,2024-07-19 09:30:00.000,FWN,WARRERI1,FWNCSS,2024-08-31 00:00:00,1060796,COMP,2024-08-03 13:37:01.063,PECOTJA1,2024-05-03 02:09:47.837,2024-08
1060798,EID 10028 1 YR PM,CLOSE,PM,10028,RM0601,JP1116,MAXADMIN,2024-09-20 03:17:09.430,E10028Y,2024-08-01,2024-07-29 09:45:00.000,FWN,PECOTJA1,FWNWSM,2024-08-31 00:00:00,1060798,COMP,2024-08-02 10:52:11.540,PECOTJA1,2024-05-03 02:09:50.350,2024-08
1060804,EID 10029 1 YR PM,CLOSE,PM,10029,RM0601,JP0148,MAXADMIN,2024-09-14 03:15:21.190,E100291Y,2024-08-01,2024-07-29 10:00:00.000,FWN,PECOTJA1,FWNWSM,2024-08-31 00:00:00,1060804,COMP,2024-07-29 10:03:27.440,PECOTJA1,2024-05-03 02:10:01.737,2024-08
1060809,EID 10029 2 YR PM,CLOSE,PM,10029,RM0601,JP0456,MAXADMIN,2024-09-27 03:15:14.547,E100292Y,2024-08-01,2024-08-02 15:37:00.000,FWN,JOHNSJ2N,FWNAE,2024-08-31 00:00:00,1060809,COMP,2024-08-02 22:55:13.297,JOHNSJ2N,2024-05-03 02:10:09.637,2024-08
1060811,"EID 10037 1 YR PM ""B""",CLOSE,PM,10037,RM0612,JP0387,MAXADMIN,2024-09-05 03:15:40.513,E10037B,2024-08-01,2024-07-19 07:30:00.000,FWN,BLANCDA7,FWNAE,2024-08-31 00:00:00,1060811,COMP,2024-07-19 09:32:04.207,US028473,2024-05-03 02:10:12.913,2024-08
1060817,EID 10038 1 YR PM,CLOSE,PM,10038,RM0600,JP1288,MAXADMIN,2024-09-13 03:15:45.210,E10038-1Y,2024-08-01,2024-07-23 14:00:00.000,FWN,KELLEJU4,FWNLC1,2024-08-31 00:00:00,1060817,COMP,2024-07-29 07:12:52.277,KELLEJU4,2024-05-03 02:10:20.500,2024-08
1060823,EID 10038 1 YR PM SS,CLOSE,PM,10038,RM0600,JP0978,MAXADMIN,2024-09-13 03:15:47.960,E10038SS,2024-08-01,2024-07-17 09:00:00.000,FWN,KELLEJU4,FWNLC1,2024-08-31 00:00:00,1060823,COMP,2024-07-29 07:11:50.377,KELLEJU4,2024-05-03 02:10:29.147,2024-08
1060829,EID 10040 1 YR PM,CLOSE,PM,10040,RM0600,JP1285,MAXADMIN,2024-09-13 03:15:50.710,E10040-1Y,2024-08-01,2024-07-26 13:00:00.000,FWN,KELLEJU4,FWNLC1,2024-08-31 00:00:00,1060829,COMP,2024-07-29 06:17:26.483,KELLEJU4,2024-05-03 02:10:37.937,2024-08
